,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Aamer Yamin,2017-2018,5,4,0,27,25,6.75,30,90.00,0,0,1,2,2,Aamer Yamin,2017-2018,5,5,15.0,0,126,4,3/17,31.50,8.40,22.5,0,0,3,0
1,KJ Abbott,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,KJ Abbott,2018-2018,1,1,3.0,0,25,1,1/25,25.00,8.33,18.0,0,0,0,0
2,Adnan Rasool,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,Adnan Rasool,2016-2016,3,2,6.0,0,67,0,-,-,11.16,-,0,0,0,0
3,Agha Salman,2018-2019,11,11,0,184,50,16.72,187,98.39,0,1,0,14,5,Agha Salman,2018-2019,11,4,4.1,0,33,0,-,-,7.92,-,0,0,1,0
4,Aizaz Cheema,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Aizaz Cheema,2019-2019,1,1,3.0,0,32,0,-,-,10.66,-,0,0,0,0
5,CJ Anderson,2019-2019,3,2,0,41,22,20.50,36,113.88,0,0,0,1,3,CJ Anderson,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,0,0
6,Azhar Ali,2016-2016,7,7,0,183,61,26.14,172,106.39,0,1,0,22,3,Azhar Ali,2016-2016,7,2,5.0,0,30,0,-,-,6.00,-,0,0,3,0
7,Bilal Asif,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Bilal Asif,2018-2018,1,1,2.0,0,19,0,-,-,9.50,-,0,0,0,0
8,Bilawal Bhatti,2017-2017,5,2,0,2,1,1.00,7,28.57,0,0,0,0,0,Bilawal Bhatti,2017-2017,5,5,15.1,0,100,1,1/34,100.00,6.59,91.0,0,0,4,0
9,CR Brathwaite,2019-2019,1,1,0,6,6,6.00,6,100.00,0,0,0,1,0,CR Brathwaite,2019-2019,1,1,2.0,0,25,1,1/25,25.00,12.50,12.0,0,0,0,0
10,DJ Bravo,2016-2016,8,8,3,111,32,22.20,98,113.26,0,0,1,9,2,DJ Bravo,2016-2016,8,8,27.0,0,226,4,3/30,56.50,8.37,40.5,0,0,2,0
11,KK Cooper,2016-2016,7,4,2,10,10*,5.00,11,90.90,0,0,2,1,0,KK Cooper,2016-2016,7,6,17.0,0,157,6,3/25,26.16,9.23,17.0,0,0,3,0
12,CS Delport,2016-2018,14,13,1,327,78,27.25,254,128.74,0,3,1,31,13,CS Delport,2016-2018,14,6,12.4,0,105,5,3/18,21.00,8.28,15.2,0,0,2,0
13,AP Devcich,2018-2019,10,10,0,279,70,27.90,205,136.09,0,2,0,26,12,AP Devcich,2018-2019,10,2,2.0,0,31,0,-,-,15.50,-,0,0,2,0
14,AB de Villiers,2019-2019,7,7,3,218,52*,54.50,169,128.99,0,1,0,19,5,AB de Villiers,2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,2,0
15,Dilbar Hussain,2020-2020,8,1,1,8,8*,-,12,66.66,0,0,0,0,1,Dilbar Hussain,2020-2020,8,8,23.2,0,189,7,4/24,27.00,8.10,20.0,1,0,2,0
16,BR Dunk,2020-2020,8,7,2,266,99*,53.20,143,186.01,0,2,0,15,23,BR Dunk,2020-2020,8,-,-,-,-,-,-,-,-,-,-,-,5,0
17,Ehsan Adil,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,Ehsan Adil,2016-2016,5,5,19.5,0,170,7,4/39,24.28,8.57,17.0,1,0,1,0
18,GD Elliott,2017-2017,7,7,1,74,26*,12.33,79,93.67,0,0,2,5,1,GD Elliott,2017-2017,7,7,12.0,0,115,4,4/23,28.75,9.58,18.0,1,0,3,0
19,Fakhar Zaman,2017-2020,37,37,0,985,94,26.62,708,139.12,0,7,3,102,40,Fakhar Zaman,2017-2020,37,7,10.0,0,58,2,1/3,29.00,5.80,30.0,0,0,14,0
20,Gauhar Ali,2019-2019,3,3,0,30,21,10.00,22,136.36,0,0,0,4,1,Gauhar Ali,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,1,0
21,CH Gayle,2016-2016,5,5,0,103,60,20.60,68,151.47,0,1,2,7,8,CH Gayle,2016-2016,5,1,1.0,0,5,0,-,-,5.00,-,0,0,0,0
22,Ghulam Mudassar,2017-2017,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,Ghulam Mudassar,2017-2017,1,1,2.0,0,23,0,-,-,11.50,-,0,0,0,0
23,Gulraiz Sadaf,2018-2018,5,5,2,110,42*,36.66,121,90.90,0,0,0,8,3,Gulraiz Sadaf,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,2,0
24,DAS Gunaratne,2019-2019,1,1,0,12,12,12.00,11,109.09,0,0,0,0,1,DAS Gunaratne,2019-2019,1,1,1.0,0,8,0,-,-,8.00,-,0,0,0,0
25,Hammad Azam,2016-2016,3,3,2,18,18*,18.00,12,150.00,0,0,1,2,0,Hammad Azam,2016-2016,3,1,2.0,0,25,0,-,-,12.50,-,0,0,0,0
26,Haris Rauf,2019-2020,15,4,1,13,7,4.33,15,86.66,0,0,2,1,1,Haris Rauf,2019-2020,15,15,54.0,0,461,14,4/23,32.92,8.53,23.1,1,0,3,0
27,Haris Sohail,2019-2019,5,5,1,103,43,25.75,108,95.37,0,0,1,10,1,Haris Sohail,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,4,0
28,Hassan Khan,2019-2019,2,2,1,13,7,13.00,14,92.85,0,0,0,2,0,Hassan Khan,2019-2019,2,2,3.0,0,29,0,-,-,9.66,-,0,0,0,0
