,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Ahmed Shehzad,2018-2018,10,9,0,173,38,19.22,203,85.22,0,0,1,16,3,Ahmed Shehzad,2018-2018,10,-,-,-,-,-,-,-,-,-,-,-,7,0
1,MM Ali,2020-2020,9,9,1,138,65,17.25,106,130.18,0,1,1,13,5,MM Ali,2020-2020,9,6,11.0,0,110,5,2/13,22.00,10.00,13.2,0,0,6,0
2,Ali Shafiq,2019-2020,4,1,0,0,0,0.00,0,-,0,0,1,0,0,Ali Shafiq,2019-2020,4,4,12.3,0,91,4,2/11,22.75,7.28,18.7,0,0,0,0
3,Asad Shafiq,2020-2020,1,1,0,1,1,1.00,1,100.00,0,0,0,0,0,Asad Shafiq,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,0,0
4,Bilawal Bhatti,2020-2020,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,Bilawal Bhatti,2020-2020,2,2,7.0,0,67,3,3/26,22.33,9.57,14.0,0,0,0,0
5,RS Bopara,2020-2020,4,4,0,51,33,12.75,51,100.00,0,0,0,5,1,RS Bopara,2020-2020,4,1,2.0,0,17,0,-,-,8.50,-,0,0,1,0
6,DM Bravo,2018-2018,5,2,1,15,9*,15.00,13,115.38,0,0,0,1,1,DM Bravo,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,3,0
7,J Charles,2019-2019,7,7,1,208,57,34.66,142,146.47,0,2,1,24,7,J Charles,2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,1,0
8,DT Christian,2019-2019,8,7,1,97,21,16.16,75,129.33,0,0,0,5,5,DT Christian,2019-2019,8,5,10.3,0,113,5,3/19,22.60,10.76,12.6,0,0,4,0
9,LJ Evans,2019-2019,5,5,0,83,49,16.60,96,86.45,0,0,0,7,0,LJ Evans,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,2,0
10,CJ Green,2019-2019,5,3,1,27,18*,13.50,29,93.10,0,0,0,2,0,CJ Green,2019-2019,5,5,17.0,0,111,4,3/32,27.75,6.52,25.5,0,0,0,0
11,Hammad Azam,2019-2019,5,5,1,57,29,14.25,58,98.27,0,0,1,4,1,Hammad Azam,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,1,0
12,Imran Tahir,2018-2020,18,5,3,16,7*,8.00,25,64.00,0,0,0,1,0,Imran Tahir,2018-2020,18,16,57.0,1,425,23,3/19,18.47,7.45,14.8,0,0,3,0
13,Junaid Khan,2018-2020,17,5,2,4,2*,1.33,8,50.00,0,0,1,0,0,Junaid Khan,2018-2020,17,16,56.0,0,459,17,3/24,27.00,8.19,19.7,0,0,4,0
14,Khushdil Shah,2020-2020,9,8,4,175,70*,43.75,119,147.05,0,1,0,10,10,Khushdil Shah,2020-2020,9,2,3.0,0,17,1,1/1,17.00,5.66,18.0,0,0,3,0
15,Mohammad Abbas,2019-2019,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,Mohammad Abbas,2019-2019,3,3,12.0,1,69,5,3/22,13.80,5.75,14.4,0,0,0,0
