,Player,Span,Mat,Won,Lost,Tied,NR,%
0,Sarfaraz Ahmed,2016-2020,52,30,21,0,1,58.82
1,DJG Sammy,2017-2020,39,22,16,0,1,57.89
2,Imad Wasim,2018-2020,28,14,11,1,2,55.76
3,Shoaib Malik,2016-2019,28,9,18,0,1,33.33
4,Misbah-ul-Haq,2016-2018,26,15,10,1,0,59.61
5,BB McCullum,2017-2018,18,5,11,2,0,33.33
6,Shadab Khan,2019-2020,12,5,7,0,0,41.66
7,KC Sangakkara,2017-2017,10,5,5,0,0,50.00
8,Shahid Afridi,2016-2016,10,6,4,0,0,60.00
9,Sohail Akhtar,2020-2020,10,5,5,0,0,50.00
10,Mohammad Sami,2019-2019,9,4,5,0,0,44.44
11,Shan Masood,2020-2020,9,6,2,0,1,75.00
12,Azhar Ali,2016-2016,7,2,5,0,0,28.57
13,Fakhar Zaman,2019-2019,5,1,4,0,0,20.00
14,Wahab Riaz,2020-2020,5,2,3,0,0,40.00
15,Mohammad Hafeez,2018-2019,4,2,2,0,0,50.00
16,AB de Villiers,2019-2019,3,1,2,0,0,33.33
17,EJG Morgan,2018-2018,3,1,2,0,0,33.33
18,JP Duminy,2018-2018,2,2,0,0,0,100.00
19,Rumman Raees,2018-2018,2,1,1,0,0,50.00
20,SR Watson,2016-2016,2,1,1,0,0,50.00
21,Babar Azam,2020-2020,1,0,1,0,0,0.00
22,RS Bopara,2016-2016,1,0,1,0,0,0.00
23,DJ Bravo,2016-2016,1,0,1,0,0,0.00
24,Mohammad Amir,2018-2018,1,0,1,0,0,0.00
