,Player,Span,Mat,Inns,Ct,Max,Ct/Inn
0,Mohammad Nawaz,2016-2020,52,52,30,3,0.576
1,KA Pollard,2017-2019,33,32,24,4,0.750
2,Babar Azam,2016-2020,45,44,23,4,0.522
3,Asif Ali,2016-2020,43,43,20,2,0.465
4,Ahmed Shehzad,2016-2020,45,44,20,2,0.454
5,Umar Akmal,2016-2019,32,31,19,2,0.612
6,Mohammad Hafeez,2016-2020,45,44,19,3,0.431
7,CJ Jordan,2017-2020,22,22,18,3,0.818
8,RS Bopara,2016-2020,35,33,17,4,0.515
9,DJG Sammy,2016-2020,49,48,17,2,0.354
10,Wahab Riaz,2016-2020,54,53,17,3,0.320
11,Shadab Khan,2017-2020,41,41,15,2,0.365
12,Hasan Ali,2016-2020,45,44,15,2,0.340
13,Fakhar Zaman,2017-2020,37,37,14,2,0.378
14,Hassan Khan,2017-2019,23,23,13,3,0.565
15,Shahid Afridi,2016-2020,44,42,13,2,0.309
16,JM Vince,2016-2020,20,20,12,3,0.600
17,LA Dawson,2018-2020,24,24,12,2,0.500
18,Anwar Ali,2016-2020,35,35,12,2,0.342
19,SR Patel,2018-2020,26,26,11,2,0.423
20,CA Ingram,2018-2020,32,31,11,2,0.354
21,Mohammad Sami,2016-2019,36,36,11,3,0.305
22,Sohail Tanvir,2016-2020,44,42,11,2,0.261
23,Imad Wasim,2016-2020,46,45,11,2,0.244
24,LS Livingstone,2019-2020,19,19,10,3,0.526
25,Hussain Talat,2017-2020,29,29,10,2,0.344
26,Misbah-ul-Haq,2016-2019,29,29,10,2,0.344
27,Faheem Ashraf,2018-2020,31,31,10,2,0.322
28,Rumman Raees,2016-2020,32,32,10,1,0.312
29,RR Rossouw,2017-2020,38,37,10,1,0.270
30,Shoaib Malik,2016-2020,47,46,10,2,0.217
31,SR Watson,2016-2020,46,46,10,2,0.217
32,JP Duminy,2018-2018,10,10,8,2,0.800
33,JL Denly,2018-2018,12,11,8,3,0.727
34,Shan Masood,2019-2020,13,12,8,2,0.666
35,AD Hales,2018-2020,13,13,8,3,0.615
36,Amad Butt,2017-2020,16,16,8,2,0.500
37,AD Russell,2016-2019,18,18,8,3,0.444
38,DJ Malan,2016-2020,20,20,8,2,0.400
39,Umar Amin,2016-2020,20,20,8,2,0.400
40,Mohammad Asghar,2016-2018,21,21,8,2,0.380
41,DR Smith,2016-2019,28,28,8,2,0.285
42,Sohail Akhtar,2018-2020,29,29,8,1,0.275
43,T Banton,2020-2020,7,7,7,2,1.000
44,JJ Roy,2017-2020,15,15,7,2,0.466
45,Zulfiqar Babar,2016-2017,18,18,7,1,0.388
46,TS Mills,2017-2020,22,21,7,2,0.333
47,Sohaib Maqsood,2016-2019,23,21,7,2,0.333
