,Player,Span,Mat,Awards,
0,Mohammad Nabi (AFG),2010-2020,78,12,
1,V Kohli (INDIA),2010-2020,82,12,
2,Shahid Afridi (ICC/PAK),2006-2018,99,11,
3,RG Sharma (INDIA),2007-2020,108,10,
4,CH Gayle (WI),2006-2019,58,9,
5,SR Watson (AUS),2006-2016,58,9,
6,Mohammad Shahzad (AFG),2010-2018,65,9,
7,DA Warner (AUS),2009-2020,79,9,
8,Mohammad Hafeez (PAK),2006-2020,91,9,
9,MDKJ Perera (SL),2013-2020,47,7,
10,Yuvraj Singh (INDIA),2007-2017,58,7,
11,C Munro (NZ),2012-2020,65,7,
12,BB McCullum (NZ),2005-2015,71,7,
13,AB de Villiers (SA),2006-2017,78,7,
14,PR Stirling (IRE),2009-2020,78,7,
15,Umar Akmal (PAK),2009-2019,84,7,
16,MJ Guptill (NZ),2009-2020,88,7,
17,EJG Morgan (ENG),2009-2020,89,7,
18,ST Jayasuriya (SL),2006-2011,31,6,
19,KP Pietersen (ENG),2005-2013,37,6,
20,Shadab Khan (PAK),2017-2020,40,6,
21,RE van der Merwe (NL/SA),2009-2019,43,6,
22,DPMD Jayawardene (SL),2006-2014,55,6,
23,MN Samuels (WI),2007-2018,67,6,
24,DA Miller (SA/World),2010-2020,78,6,
25,TM Dilshan (SL),2006-2016,80,6,
26,E Lewis (WI),2016-2020,32,5,
27,Mudassar Bukhari (NL),2008-2016,38,5,
28,BAW Mendis (SL),2008-2014,39,5,
29,Imad Wasim (PAK),2015-2020,43,5,
30,Rashid Khan (AFG/ICC),2015-2020,48,5,
31,Umar Gul (PAK),2007-2016,60,5,
32,GJ Maxwell (AUS),2012-2019,61,5,
33,DJG Sammy (WI/World),2007-2017,68,5,
34,Shakib Al Hasan (BDESH),2006-2019,76,5,
35,JP Duminy (SA),2007-2019,81,5,
36,NLTC Perera (ICC/SL/World),2010-2020,81,5,
37,Shoaib Malik (ICC/PAK),2006-2020,113,5,
