,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Ahmed Safi Abdullah,2020-2020,3,2,2,9,8*,-,13,69.23,0,0,0,1,0,Ahmed Safi Abdullah,2020-2020,3,3,8.0,0,65,4,2/17,16.25,8.12,12.0,0,0,0,0
1,Akif Javed,2020-2020,6,1,1,0,0*,-,2,0.00,0,0,0,0,0,Akif Javed,2020-2020,6,5,15.0,0,125,4,1/20,31.25,8.33,22.5,0,0,1,0
2,Amad Butt,2017-2020,16,9,2,60,17,8.57,57,105.26,0,0,2,3,4,Amad Butt,2017-2020,16,14,40.5,0,375,15,4/27,25.00,9.18,16.3,1,0,8,0
3,Ashar Zaidi,2016-2016,3,2,0,8,6,4.00,16,50.00,0,0,0,0,0,Ashar Zaidi,2016-2016,3,2,8.0,0,59,0,-,-,7.37,-,0,0,0,0
4,Asif Ali,2016-2020,43,36,10,655,70,25.19,401,163.34,0,2,3,39,50,Asif Ali,2016-2020,43,-,-,-,-,-,-,-,-,-,-,-,20,0
5,Azhar Mahmood,2016-2016,2,2,2,14,12*,-,12,116.66,0,0,0,2,0,Azhar Mahmood,2016-2016,2,2,7.0,0,57,1,1/22,57.00,8.14,42.0,0,0,2,0
6,Babar Azam,2016-2016,2,2,0,15,15,7.50,26,57.69,0,0,1,1,0,Babar Azam,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,0,0
7,S Badree,2016-2017,7,1,1,2,2*,-,2,100.00,0,0,0,0,0,S Badree,2016-2017,7,7,26.0,1,192,4,1/20,48.00,7.38,39.0,0,0,1,0
8,IR Bell,2019-2019,1,1,0,54,54,54.00,46,117.39,0,1,0,6,0,IR Bell,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0
9,SW Billings,2016-2017,10,9,2,167,78*,23.85,128,130.46,0,1,1,16,5,SW Billings,2016-2017,10,-,-,-,-,-,-,-,-,-,-,-,5,0
10,CS Delport,2019-2019,12,12,1,355,117*,32.27,265,133.96,1,1,3,35,13,CS Delport,2019-2019,12,4,9.0,0,66,4,2/24,16.50,7.33,13.5,0,0,1,0
11,BM Duckett,2017-2017,2,2,0,30,16,15.00,34,88.23,0,0,0,4,0,BM Duckett,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,0,0
12,JP Duminy,2018-2018,10,9,2,251,73*,35.85,249,100.80,0,2,0,22,8,JP Duminy,2018-2018,10,3,9.0,0,70,1,1/38,70.00,7.77,54.0,0,0,8,0
13,Faheem Ashraf,2018-2020,31,23,10,290,54*,22.30,203,142.85,0,1,1,24,14,Faheem Ashraf,2018-2020,31,31,104.5,1,852,46,6/19,18.52,8.12,13.6,1,1,10,0
14,ST Finn,2018-2018,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,ST Finn,2018-2018,5,5,16.0,0,124,5,3/35,24.80,7.75,19.2,0,0,1,0
15,BJ Haddin,2016-2017,17,17,4,327,73,25.15,250,130.80,0,4,2,25,15,BJ Haddin,2016-2017,17,-,-,-,-,-,-,-,-,-,-,-,11,1
16,AD Hales,2018-2019,6,6,0,129,46,21.50,112,115.17,0,0,0,16,3,AD Hales,2018-2019,6,-,-,-,-,-,-,-,-,-,-,-,6,0
17,Hussain Talat,2017-2020,29,24,4,463,56,23.15,374,123.79,0,1,2,35,16,Hussain Talat,2017-2020,29,10,19.0,0,183,4,2/18,45.75,9.63,28.5,0,0,10,0
18,Iftikhar Ahmed,2018-2018,1,1,0,9,9,9.00,15,60.00,0,0,0,1,0,Iftikhar Ahmed,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,0,0
19,Imran Khalid,2016-2017,12,5,0,39,18,7.80,43,90.69,0,0,0,1,2,Imran Khalid,2016-2017,12,11,28.1,1,199,10,4/20,19.90,7.06,16.9,1,0,5,0
20,CA Ingram,2020-2020,9,9,2,206,63*,29.42,137,150.36,0,1,0,18,8,CA Ingram,2020-2020,9,-,-,-,-,-,-,-,-,-,-,-,2,0
21,Kamran Ghulam,2016-2016,2,1,0,9,9,9.00,12,75.00,0,0,0,0,0,Kamran Ghulam,2016-2016,2,1,1.0,0,6,0,-,-,6.00,-,0,0,0,0
22,Khalid Latif,2016-2016,9,7,1,206,59,34.33,173,119.07,0,1,0,11,9,Khalid Latif,2016-2016,9,-,-,-,-,-,-,-,-,-,-,-,3,0
23,DJ Malan,2020-2020,4,4,1,131,64,43.66,92,142.39,0,1,0,13,5,DJ Malan,2020-2020,4,-,-,-,-,-,-,-,-,-,-,-,1,0
24,Misbah-ul-Haq,2016-2018,26,19,4,381,61*,25.40,349,109.16,0,1,0,33,13,Misbah-ul-Haq,2016-2018,26,-,-,-,-,-,-,-,-,-,-,-,10,0
25,Mohammad Irfan,2016-2017,14,2,2,0,0*,-,3,0.00,0,0,0,0,0,Mohammad Irfan,2016-2017,14,14,51.0,2,365,14,3/22,26.07,7.15,21.8,0,0,2,0
26,Mohammad Sami,2016-2019,36,14,8,39,20*,6.50,39,100.00,0,0,2,2,1,Mohammad Sami,2016-2019,36,36,127.0,1,875,42,5/8,20.83,6.88,18.1,0,1,11,0
27,Muhammad Musa,2019-2020,14,5,3,27,17*,13.50,25,108.00,0,0,1,3,1,Muhammad Musa,2019-2020,14,14,45.4,2,422,14,3/25,30.14,9.24,19.5,0,0,2,0
28,C Munro,2020-2020,8,8,1,248,87*,35.42,168,147.61,0,3,1,18,15,C Munro,2020-2020,8,-,-,-,-,-,-,-,-,-,-,-,1,0
29,Nasir Nawaz,2019-2019,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,Nasir Nawaz,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0
30,WD Parnell,2019-2019,3,2,0,46,41,23.00,28,164.28,0,0,0,7,1,WD Parnell,2019-2019,3,2,2.0,0,32,0,-,-,16.00,-,0,0,1,0
31,SR Patel,2018-2019,17,10,4,175,45*,29.16,167,104.79,0,0,0,22,1,SR Patel,2018-2019,17,17,53.0,0,379,17,4/34,22.29,7.15,18.7,1,0,6,0
32,N Pooran,2017-2017,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,N Pooran,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0
33,Rafatullah Mohmand,2017-2017,3,3,0,46,18,15.33,37,124.32,0,0,0,2,4,Rafatullah Mohmand,2017-2017,3,-,-,-,-,-,-,-,-,-,-,-,0,0
34,Rizwan Hussain,2019-2020,9,8,0,82,22,10.25,77,106.49,0,0,0,9,1,Rizwan Hussain,2019-2020,9,-,-,-,-,-,-,-,-,-,-,-,2,0
35,L Ronchi,2018-2020,31,31,3,1020,94*,36.42,614,166.12,0,10,4,116,50,L Ronchi,2018-2020,31,-,-,-,-,-,-,-,-,-,-,-,19,3
36,Rumman Raees,2016-2020,32,8,5,19,11*,6.33,31,61.29,0,0,2,2,0,Rumman Raees,2016-2020,32,32,110.0,0,818,34,4/25,24.05,7.43,19.4,1,0,10,0
37,AD Russell,2016-2018,14,12,2,110,35*,11.00,92,119.56,0,0,1,9,6,AD Russell,2016-2018,14,13,44.2,0,365,20,3/18,18.25,8.23,13.3,0,0,6,0
38,Saeed Ajmal,2016-2017,10,3,2,20,10*,20.00,16,125.00,0,0,0,1,1,Saeed Ajmal,2016-2017,10,10,33.4,0,273,9,3/27,30.33,8.10,22.4,0,0,1,0
39,Sahibzada Farhan,2018-2019,9,8,1,140,44,20.00,132,106.06,0,0,0,12,4,Sahibzada Farhan,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-,5,0
