,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Aamer Yamin,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,Aamer Yamin,2016-2016,2,2,7.0,0,54,1,1/21,54.00,7.71,42.0,0,0,0,0
1,Abdur Rehman,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Abdur Rehman,2016-2016,1,1,3.0,0,28,0,-,-,9.33,-,0,0,1,0
2,Adil Amin,2020-2020,1,1,1,7,7*,-,7,100.00,0,0,0,1,0,Adil Amin,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,0,0
3,J Allenby,2016-2016,2,2,0,38,31,19.00,40,95.00,0,0,0,5,0,J Allenby,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,0,0
4,JM Bairstow,2016-2016,1,1,0,15,15,15.00,16,93.75,0,0,0,1,0,JM Bairstow,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,2,0
5,T Banton,2020-2020,7,7,1,74,34,12.33,57,129.82,0,0,2,9,2,T Banton,2020-2020,7,-,-,-,-,-,-,-,-,-,-,-,7,0
6,CR Brathwaite,2020-2020,3,2,1,24,16*,24.00,16,150.00,0,0,0,2,1,CR Brathwaite,2020-2020,3,3,7.5,0,63,5,3/28,12.60,8.04,9.4,0,0,0,0
7,LA Dawson,2018-2020,24,19,3,363,62,22.68,289,125.60,0,2,2,18,16,LA Dawson,2018-2020,24,20,57.0,1,462,11,3/17,42.00,8.10,31.0,0,0,12,0
8,ADS Fletcher,2018-2019,9,9,0,158,34,17.55,138,114.49,0,0,0,14,8,ADS Fletcher,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-,2,0
9,L Gregory,2020-2020,4,4,1,68,25,22.66,42,161.90,0,0,0,2,5,L Gregory,2020-2020,4,4,10.0,0,105,4,4/25,26.25,10.50,15.0,1,0,2,0
10,Haider Ali,2020-2020,9,9,1,239,69,29.87,151,158.27,0,1,0,20,14,Haider Ali,2020-2020,9,-,-,-,-,-,-,-,-,-,-,-,1,0
11,Hammad Azam,2018-2020,3,3,1,10,7,5.00,9,111.11,0,0,1,1,0,Hammad Azam,2018-2020,3,2,4.1,0,44,0,-,-,10.56,-,0,0,2,0
12,Haris Sohail,2017-2018,6,6,1,50,14,10.00,70,71.42,0,0,0,1,1,Haris Sohail,2017-2018,6,-,-,-,-,-,-,-,-,-,-,-,0,0
13,Hasan Ali,2016-2020,45,21,7,94,15,6.71,68,138.23,0,0,1,10,3,Hasan Ali,2016-2020,45,44,165.1,1,1235,59,4/15,20.93,7.47,16.7,3,0,15,0
14,BJ Hodge,2016-2016,4,4,2,93,85*,46.50,61,152.45,0,1,1,6,6,BJ Hodge,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,0,0
15,Ibtisam Sheikh,2018-2019,8,2,1,2,2,2.00,6,33.33,0,0,0,0,0,Ibtisam Sheikh,2018-2019,8,8,24.0,0,178,9,3/20,19.77,7.41,16.0,0,0,4,0
16,Iftikhar Ahmed,2017-2017,3,3,0,15,14,5.00,25,60.00,0,0,1,1,0,Iftikhar Ahmed,2017-2017,3,1,2.0,0,8,2,2/8,4.00,4.00,6.0,0,0,2,0
17,Imam-ul-Haq,2019-2020,15,15,0,411,59,27.40,319,128.84,0,5,0,40,10,Imam-ul-Haq,2019-2020,15,-,-,-,-,-,-,-,-,-,-,-,3,0
18,Imran Khan,2016-2017,2,1,1,0,0*,-,0,-,0,0,0,0,0,Imran Khan,2016-2017,2,2,8.0,0,77,2,1/35,38.50,9.62,24.0,0,0,2,0
19,CJ Jordan,2017-2019,13,10,7,64,36,21.33,64,100.00,0,0,1,3,4,CJ Jordan,2017-2019,13,13,44.0,0,337,16,3/26,21.06,7.65,16.5,0,0,12,0
20,Junaid Khan,2016-2017,9,5,5,3,1*,-,7,42.85,0,0,0,0,0,Junaid Khan,2016-2017,9,8,32.0,1,279,8,2/32,34.87,8.71,24.0,0,0,1,0
21,Kamran Akmal,2016-2020,56,55,2,1537,107*,29.00,1111,138.34,3,9,8,158,77,Kamran Akmal,2016-2020,56,-,-,-,-,-,-,-,-,-,-,-,36,8
22,Khalid Usman,2018-2018,2,1,1,7,7*,-,9,77.77,0,0,0,0,0,Khalid Usman,2018-2018,2,1,3.0,0,27,1,1/27,27.00,9.00,18.0,0,0,0,0
23,Khushdil Shah,2017-2018,4,3,0,13,8,4.33,23,56.52,0,0,0,1,0,Khushdil Shah,2017-2018,4,-,-,-,-,-,-,-,-,-,-,-,1,0
24,LS Livingstone,2020-2020,8,7,2,108,54*,21.60,72,150.00,0,1,1,7,5,LS Livingstone,2020-2020,8,1,1.0,0,10,0,-,-,10.00,-,0,0,6,0
25,WL Madsen,2019-2019,2,2,0,5,5,2.50,19,26.31,0,0,1,0,0,WL Madsen,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,0,0
26,DJ Malan,2016-2019,16,16,2,377,60*,26.92,336,112.20,0,2,0,37,11,DJ Malan,2016-2019,16,-,-,-,-,-,-,-,-,-,-,-,7,0
27,TS Mills,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,-,TS Mills,2019-2019,5,5,19.0,0,137,7,3/29,19.57,7.21,16.2,0,0,0,0
28,Misbah-ul-Haq,2019-2019,3,3,2,126,59*,126.00,104,121.15,0,1,0,9,5,Misbah-ul-Haq,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,0,0
29,Mohammad Amir Khan,2020-2020,4,1,1,7,7*,-,9,77.77,0,0,0,1,0,Mohammad Amir Khan,2020-2020,4,4,12.0,0,107,3,1/11,35.66,8.91,24.0,0,0,1,0
30,Mohammad Asghar,2016-2018,21,3,2,1,1*,1.00,5,20.00,0,0,1,0,0,Mohammad Asghar,2016-2018,21,21,63.4,1,489,21,3/16,23.28,7.68,18.1,0,0,8,0
31,Mohammad Hafeez,2016-2018,33,31,1,671,77,22.36,591,113.53,0,4,3,68,25,Mohammad Hafeez,2016-2018,33,6,15.0,0,97,7,2/7,13.85,6.46,12.8,0,0,13,0
32,Mohammad Mohsin,2020-2020,2,1,0,0,0,0.00,6,0.00,0,0,1,0,0,Mohammad Mohsin,2020-2020,2,1,4.0,0,35,1,1/35,35.00,8.75,24.0,0,0,0,0
33,EJG Morgan,2017-2017,6,6,1,136,80*,27.20,131,103.81,0,1,0,14,4,EJG Morgan,2017-2017,6,-,-,-,-,-,-,-,-,-,-,-,2,0
34,Nabi Gul,2019-2019,2,1,0,9,9,9.00,12,75.00,0,0,0,0,0,Nabi Gul,2019-2019,2,1,0.5,0,4,0,-,-,4.80,-,0,0,1,0
35,KA Pollard,2019-2019,13,13,3,284,52*,28.40,164,173.17,0,2,1,19,23,KA Pollard,2019-2019,13,12,28.4,0,229,5,1/10,45.80,7.98,34.4,0,0,10,0
36,Rahat Ali,2020-2020,9,1,0,1,1,1.00,6,16.66,0,0,0,0,0,Rahat Ali,2020-2020,9,9,32.1,0,278,8,3/24,34.75,8.64,24.1,0,0,1,0
37,Saad Nasim,2018-2018,5,5,1,65,35,16.25,47,138.29,0,0,0,7,3,Saad Nasim,2018-2018,5,-,-,-,-,-,-,-,-,-,-,-,1,0
38,Sabbir Rahman,2018-2018,2,1,0,11,11,11.00,11,100.00,0,0,0,1,0,Sabbir Rahman,2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,3,0
39,Sameen Gul,2018-2019,15,3,3,3,2*,-,6,50.00,0,0,0,0,0,Sameen Gul,2018-2019,15,15,55.0,0,459,16,3/29,28.68,8.34,20.6,0,0,1,0
40,DJG Sammy,2016-2020,49,39,12,691,48,25.59,472,146.39,0,0,2,48,44,DJG Sammy,2016-2020,49,16,26.4,0,256,9,2/21,28.44,9.60,17.7,0,0,17,0
