,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Abdul Nasir,2020-2020,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,Abdul Nasir,2020-2020,1,1,3.0,0,26,0,-,-,8.66,-,0,0,2,0
1,Ahmed Shehzad,2016-2020,35,34,2,904,99,28.25,694,130.25,0,9,3,93,29,Ahmed Shehzad,2016-2020,35,-,-,-,-,-,-,-,-,-,-,-,13,0
2,Ahsan Ali,2019-2020,11,10,0,194,46,19.40,155,125.16,0,0,0,17,7,Ahsan Ali,2019-2020,11,1,1.0,0,9,1,1/9,9.00,9.00,6.0,0,0,6,0
3,Aizaz Cheema,2016-2016,4,1,1,0,0*,-,0,-,0,0,0,0,0,Aizaz Cheema,2016-2016,4,4,14.0,0,104,6,2/14,17.33,7.42,14.0,0,0,3,0
4,Akbar-ur-Rehman,2016-2016,7,3,0,15,11,5.00,19,78.94,0,0,0,1,0,Akbar-ur-Rehman,2016-2016,7,3,4.0,0,29,0,-,-,7.25,-,0,0,3,0
5,Anamul Haque,2017-2017,1,1,0,3,3,3.00,9,33.33,0,0,0,0,0,Anamul Haque,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0
6,Anwar Ali,2016-2020,35,25,8,221,28*,13.00,160,138.12,0,0,0,13,13,Anwar Ali,2016-2020,35,33,99.1,1,860,23,2/21,37.39,8.67,25.8,0,0,12,0
7,JC Archer,2018-2018,2,1,0,5,5,5.00,4,125.00,0,0,0,1,0,JC Archer,2018-2018,2,2,8.0,0,53,5,3/23,10.60,6.62,9.6,0,0,1,0
8,Asad Shafiq,2016-2018,16,15,1,279,51,19.92,266,104.88,0,1,1,31,5,Asad Shafiq,2016-2018,16,-,-,-,-,-,-,-,-,-,-,-,6,0
9,Azam Khan,2019-2020,10,10,1,162,59,18.00,130,124.61,0,1,2,15,6,Azam Khan,2019-2020,10,-,-,-,-,-,-,-,-,-,-,-,2,0
10,Bismillah Khan,2016-2016,3,3,0,55,55,18.33,35,157.14,0,1,2,10,1,Bismillah Khan,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,0,0
11,DJ Bravo,2019-2019,6,4,2,23,12*,11.50,29,79.31,0,0,1,3,0,DJ Bravo,2019-2019,6,6,24.0,0,199,7,3/19,28.42,8.29,20.5,0,0,2,0
12,E Chigumbura,2016-2016,5,3,1,10,7*,5.00,13,76.92,0,0,1,1,0,E Chigumbura,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,2,0
13,BCJ Cutting,2020-2020,7,7,2,146,53,29.20,77,189.61,0,1,2,8,13,BCJ Cutting,2020-2020,7,5,16.0,0,173,8,3/31,21.62,10.81,12.0,0,0,0,0
14,Danish Aziz,2019-2019,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,Danish Aziz,2019-2019,1,1,0.3,0,6,0,-,-,12.00,-,0,0,0,0
15,GD Elliott,2016-2016,6,5,1,65,40,16.25,55,118.18,0,0,0,3,4,GD Elliott,2016-2016,6,6,22.0,0,134,11,4/15,12.18,6.09,12.0,1,0,2,0
16,RR Emrit,2017-2017,1,1,1,6,6*,-,9,66.66,0,0,0,0,0,RR Emrit,2017-2017,1,1,4.0,0,30,3,3/30,10.00,7.50,8.0,0,0,0,0
