,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,V Kohli (INDIA),2010-2020,82,76,21,2794,94*,50.80,2021,138.24,0,24,2,258,76
1,RG Sharma (INDIA),2007-2020,108,100,15,2773,118,32.62,1998,138.78,4,21,6,245,127
2,MJ Guptill (NZ),2009-2020,88,85,7,2536,105,32.51,1884,134.60,2,15,2,225,119
3,Shoaib Malik (ICC/PAK),2006-2020,113,105,31,2321,75,31.36,1869,124.18,0,8,1,191,61
4,DA Warner (AUS),2009-2020,79,79,9,2207,100*,31.52,1571,140.48,1,17,5,214,89
5,BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
6,EJG Morgan (ENG),2009-2020,89,87,18,2138,91,30.98,1555,137.49,0,13,3,160,105
7,PR Stirling (IRE),2009-2020,78,77,6,2124,95,29.91,1525,139.27,0,18,9,251,71
8,Mohammad Hafeez (PAK),2006-2020,91,88,9,1992,86,25.21,1708,116.62,0,11,6,208,52
9,AJ Finch (AUS),2011-2020,61,61,9,1989,172,38.25,1276,155.87,2,12,4,196,92
10,Mohammad Shahzad (AFG),2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72
11,JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
12,LRPL Taylor (NZ),2006-2020,100,92,20,1909,63,26.51,1556,122.68,0,7,5,121,71
13,TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
14,Tamim Iqbal (BDESH/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
15,C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
16,Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.00,1377,122.73,0,8,10,122,55
17,AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
18,KJ O'Brien (IRE),2008-2020,96,89,10,1672,124,21.16,1230,135.93,1,3,10,137,76
19,KS Williamson (NZ),2011-2020,60,58,7,1665,95,32.64,1330,125.18,0,11,2,170,36
20,H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.20,0,11,1,151,65
21,AD Hales (ENG),2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55
22,CH Gayle (WI),2006-2019,58,54,4,1627,117,32.54,1139,142.84,2,13,3,138,105
23,MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52
