,Player,Span,Mat,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,DL Vettori (NZ),2007-2014,34,131.1,1,748,38,4/20,19.68,5.70,20.7,1,0
1,Imad Wasim (PAK),2015-2020,43,152.0,3,908,42,5/14,21.61,5.97,21.7,1,1
2,SP Narine (WI),2012-2019,51,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0
3,A Zampa (AUS),2016-2020,30,102.3,1,628,33,3/14,19.03,6.12,18.6,0,0
4,Rashid Khan (AFG/ICC),2015-2020,48,183.0,1,1124,89,5/3,12.62,6.14,12.3,3,2
5,S Badree (WI/World),2012-2018,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
6,Harbhajan Singh (INDIA),2006-2016,28,102.0,5,633,25,4/12,25.32,6.20,24.4,1,0
7,Ahmed Raza (UAE),2014-2020,41,139.0,2,874,29,2/8,30.13,6.28,28.7,0,0
8,RE van der Merwe (NL/SA),2009-2019,43,149.1,1,938,54,4/35,17.37,6.28,16.5,1,0
9,Mohammad Naveed (UAE),2015-2019,31,114.4,5,729,37,3/14,19.70,6.35,18.5,0,0
10,Saeed Ajmal (PAK),2009-2015,64,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
11,GP Swann (ENG),2008-2012,39,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
12,J Botha (SA),2006-2012,40,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0
13,DT Johnston (IRE),2008-2013,30,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0
14,BAW Mendis (SL),2008-2014,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
15,Khawar Ali (OMAN),2015-2020,32,91.0,0,590,35,4/16,16.85,6.48,15.6,2,0
16,Samiullah Shinwari (AFG),2010-2020,64,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
17,Mohammad Hafeez (PAK),2006-2020,91,186.1,2,1226,54,4/10,22.70,6.58,20.6,1,0
18,Shahid Afridi (ICC/PAK),2006-2018,99,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
19,Mudassar Bukhari (NL),2008-2016,38,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
20,Rohan Mustafa (UAE),2014-2020,43,133.5,3,890,45,4/18,19.77,6.65,17.8,1,0
21,JJ Bumrah (INDIA),2016-2020,50,179.1,7,1195,59,3/11,20.25,6.66,18.2,0,0
22,Imran Tahir (SA/World),2013-2019,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
23,Amir Hamza (AFG),2013-2017,31,106.0,2,716,29,3/39,24.68,6.75,21.9,0,0
24,SO Ngoche (KENYA),2010-2019,28,94.0,0,637,35,4/14,18.20,6.77,16.1,2,0
25,Bilal Khan (OMAN),2015-2020,35,122.1,3,829,51,4/19,16.25,6.78,14.3,3,0
26,Shakib Al Hasan (BDESH),2006-2019,76,277.5,2,1894,92,5/20,20.58,6.81,18.1,3,1
27,NL McCullum (NZ),2007-2016,63,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
28,WB Rankin (ENG/IRE),2009-2020,50,178.0,2,1219,55,3/16,22.16,6.84,19.4,0,0
29,P Utseya (ZIM),2006-2015,35,124.5,2,858,26,3/25,33.00,6.87,28.8,0,0
30,PJ Cummins (AUS),2011-2020,28,104.0,3,715,36,3/15,19.86,6.87,17.3,0,0
31,PW Borren (NL),2008-2017,43,87.4,0,603,18,2/19,33.50,6.87,29.2,0,0
32,Abdur Razzak (BDESH),2006-2014,34,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
33,PM Seelaar (NL),2008-2019,69,172.3,3,1190,53,4/19,22.45,6.89,19.5,1,0
34,MA Starc (AUS),2012-2020,31,116.0,1,802,43,3/11,18.65,6.91,16.1,0,0
35,AD Mathews (SL),2009-2020,75,170.3,4,1181,38,3/16,31.07,6.92,26.9,0,0
