,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,SL Malinga (SL),2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2
1,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
2,Shakib Al Hasan (BDESH),2006-2019,76,75,277.5,2,1894,92,5/20,20.58,6.81,18.1,3,1
3,Rashid Khan (AFG/ICC),2015-2020,48,48,183.0,1,1124,89,5/3,12.62,6.14,12.3,3,2
4,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
5,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
6,TG Southee (NZ),2008-2020,71,69,253.0,2,2141,78,5/18,27.44,8.46,19.4,0,1
7,GH Dockrell (IRE),2010-2020,77,72,228.2,1,1624,76,4/20,21.36,7.11,18.0,1,0
8,Mohammad Nabi (AFG),2010-2020,78,77,260.4,5,1871,69,4/10,27.11,7.17,22.6,3,0
9,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
10,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
11,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
12,DW Steyn (SA),2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0
13,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
14,JJ Bumrah (INDIA),2016-2020,50,49,179.1,7,1195,59,3/11,20.25,6.66,18.2,0,0
15,Mohammad Amir (PAK),2009-2019,48,48,175.4,5,1224,59,4/13,20.74,6.96,17.8,1,0
16,DJ Bravo (WI),2006-2020,71,61,191.5,0,1600,59,4/28,27.11,8.34,19.5,2,0
17,KJ O'Brien (IRE),2008-2020,96,51,150.3,0,1134,58,4/45,19.55,7.53,15.5,1,0
18,Mustafizur Rahman (BDESH),2015-2020,41,41,150.1,3,1191,58,5/22,20.53,7.93,15.5,1,1
19,NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
20,CJ Jordan (ENG),2014-2020,46,46,162.3,0,1408,58,4/6,24.27,8.66,16.8,2,0
21,S Badree (WI/World),2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
22,WB Rankin (ENG/IRE),2009-2020,50,49,178.0,2,1219,55,3/16,22.16,6.84,19.4,0,0
23,YS Chahal (INDIA),2016-2020,42,42,163.3,1,1339,55,6/25,24.34,8.18,17.8,2,1
24,RE van der Merwe (NL/SA),2009-2019,43,42,149.1,1,938,54,4/35,17.37,6.28,16.5,1,0
25,Mohammad Hafeez (PAK),2006-2020,91,67,186.1,2,1226,54,4/10,22.70,6.58,20.6,1,0
26,Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0
27,PM Seelaar (NL),2008-2019,69,58,172.3,3,1190,53,4/19,22.45,6.89,19.5,1,0
28,IS Sodhi (NZ),2014-2020,45,44,158.3,0,1277,53,3/18,24.09,8.05,17.9,0,0
29,MJ Santner (NZ),2015-2020,44,43,148.5,1,1096,52,4/11,21.07,7.36,17.1,1,0
30,SP Narine (WI),2012-2019,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0
31,R Ashwin (INDIA),2010-2017,46,46,171.0,2,1193,52,4/8,22.94,6.97,19.7,2,0
32,Bilal Khan (OMAN),2015-2020,35,34,122.1,3,829,51,4/19,16.25,6.78,14.3,3,0
33,GP Swann (ENG),2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
34,NLTC Perera (ICC/SL/World),2010-2020,81,66,181.4,1,1675,51,3/24,32.84,9.22,21.3,0,0
35,SM Sharif (SCOT),2012-2019,42,41,143.5,0,1185,49,4/24,24.18,8.23,17.6,1,0
36,Shadab Khan (PAK),2017-2020,40,38,142.3,1,1002,48,4/14,20.87,7.03,17.8,1,0
37,SR Watson (AUS),2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
38,PA van Meekeren (NL),2013-2019,41,39,136.1,2,945,47,4/11,20.10,6.94,17.3,2,0
