,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
0,Aamer Yamin,2019-2020,11,4,1,39,35*,13.00,28,139.28,0,0,1,3,2,Aamer Yamin,2019-2020,11,11,36.1,1,278,9,3/37,30.88,7.68,24.1,0,0,3,0
1,Abrar Ahmed,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-,Abrar Ahmed,2017-2017,2,2,6.0,0,41,0,-,-,6.83,-,0,0,0,0
2,Ali Khan,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,Ali Khan,2020-2020,1,1,3.0,0,36,1,1/36,36.00,12.00,18.0,0,0,0,0
3,Arshad Iqbal,2020-2020,5,-,-,-,-,-,-,-,-,-,-,-,-,Arshad Iqbal,2020-2020,5,5,16.2,0,159,5,2/15,31.80,9.73,19.6,0,0,0,0
4,Awais Zia,2019-2019,2,2,0,22,19,11.00,30,73.33,0,0,0,2,0,Awais Zia,2019-2019,2,1,0.1,0,4,0,-,-,24.00,-,0,0,0,0
5,Babar Azam,2017-2020,43,41,4,1373,78,37.10,1157,118.66,0,12,4,150,21,Babar Azam,2017-2020,43,-,-,-,-,-,-,-,-,-,-,-,23,0
6,Bilawal Bhatti,2016-2016,1,1,1,15,15*,-,9,166.66,0,0,0,1,1,Bilawal Bhatti,2016-2016,1,1,4.0,0,36,2,2/36,18.00,9.00,12.0,0,0,0,0
7,RS Bopara,2016-2019,31,28,8,575,71*,28.75,490,117.34,0,3,1,43,15,RS Bopara,2016-2019,31,18,43.0,0,376,15,6/16,25.06,8.74,17.2,0,1,16,0
8,Danish Aziz,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Danish Aziz,2018-2018,1,1,1.0,0,16,0,-,-,16.00,-,0,0,0,0
9,CS Delport,2020-2020,8,8,0,178,62,22.25,147,121.08,0,1,0,13,7,CS Delport,2020-2020,8,3,9.1,0,93,1,1/23,93.00,10.14,55.0,0,0,3,0
10,JL Denly,2018-2018,12,11,1,323,79*,32.30,257,125.68,0,3,1,40,9,JL Denly,2018-2018,12,1,2.0,0,15,0,-,-,7.50,-,0,0,8,0
11,BR Dunk,2019-2019,7,7,2,124,49*,24.80,95,130.52,0,0,0,10,4,BR Dunk,2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,3,3
12,CH Gayle,2017-2017,9,9,0,160,44,17.77,139,115.10,0,0,0,8,14,CH Gayle,2017-2017,9,-,-,-,-,-,-,-,-,-,-,-,3,0
13,AD Hales,2020-2020,7,5,1,239,80*,59.75,153,156.20,0,2,0,20,12,AD Hales,2020-2020,7,-,-,-,-,-,-,-,-,-,-,-,2,0
14,Iftikhar Ahmed,2016-2020,20,17,6,188,44*,17.09,151,124.50,0,0,1,15,8,Iftikhar Ahmed,2016-2020,20,6,11.2,0,82,4,2/4,20.50,7.23,17.0,0,0,3,0
15,Imad Wasim,2016-2020,46,37,12,436,50,17.44,347,125.64,0,1,5,33,16,Imad Wasim,2016-2020,46,43,141.3,0,987,27,3/18,36.55,6.97,31.4,0,0,11,0
16,CA Ingram,2018-2019,23,22,5,587,127*,34.52,382,153.66,1,2,1,49,32,CA Ingram,2018-2019,23,1,1.0,0,8,0,-,-,8.00,-,0,0,9,0
17,DPMD Jayawardene,2017-2017,1,1,0,10,10,10.00,8,125.00,0,0,0,1,0,DPMD Jayawardene,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0
18,CJ Jordan,2020-2020,9,3,1,27,14,13.50,24,112.50,0,0,0,2,1,CJ Jordan,2020-2020,9,9,33.0,0,273,9,2/29,30.33,8.27,22.0,0,0,6,0
19,Kashif Bhatti,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,Kashif Bhatti,2017-2017,1,1,2.0,0,24,0,-,-,12.00,-,0,0,0,0
20,Khurram Manzoor,2018-2018,7,6,0,121,51,20.16,122,99.18,0,1,0,12,2,Khurram Manzoor,2018-2018,7,-,-,-,-,-,-,-,-,-,-,-,1,0
21,LS Livingstone,2019-2019,11,11,1,321,82,32.10,246,130.48,0,3,1,24,15,LS Livingstone,2019-2019,11,-,-,-,-,-,-,-,-,-,-,-,4,0
22,MJ McClenaghan,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,MJ McClenaghan,2020-2020,1,1,1.0,0,14,0,-,-,14.00,-,0,0,0,0
23,TS Mills,2018-2018,8,1,1,5,5*,-,2,250.00,0,0,0,1,0,TS Mills,2018-2018,8,7,24.3,0,208,9,2/23,23.11,8.48,16.3,0,0,4,0
24,Mir Hamza,2016-2016,4,1,1,0,0*,-,0,-,0,0,0,0,0,Mir Hamza,2016-2016,4,3,4.5,0,51,0,-,-,10.55,-,0,0,2,0
25,Mohammad Amir,2016-2020,46,16,10,52,11*,8.66,49,106.12,0,0,2,5,2,Mohammad Amir,2016-2020,46,45,166.4,4,1184,49,4/25,24.16,7.10,20.4,2,0,3,0
26,Mohammad Irfan,2018-2018,11,5,3,17,16*,8.50,15,113.33,0,0,2,1,1,Mohammad Irfan,2018-2018,11,10,31.0,0,298,12,2/18,24.83,9.61,15.5,0,0,3,0
27,Mohammad Rizwan,2018-2020,19,12,4,167,34,20.87,157,106.36,0,0,0,8,3,Mohammad Rizwan,2018-2020,19,-,-,-,-,-,-,-,-,-,-,-,10,4
28,EJG Morgan,2018-2018,3,3,0,28,21,9.33,29,96.55,0,0,0,3,0,EJG Morgan,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,0,0
29,Mukhtar Ahmed,2018-2018,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,Mukhtar Ahmed,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,1,0
30,C Munro,2019-2019,8,8,0,95,32,11.87,77,123.37,0,0,2,9,4,C Munro,2019-2019,8,4,7.0,0,71,2,2/14,35.50,10.14,21.0,0,0,0,0
31,Mushfiqur Rahim,2016-2016,3,3,1,49,33,24.50,39,125.64,0,0,0,4,1,Mushfiqur Rahim,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,1,2
32,Nauman Anwar,2016-2016,5,5,0,55,35,11.00,52,105.76,0,0,2,6,3,Nauman Anwar,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,1,0
33,KA Pollard,2017-2017,10,9,4,201,47,40.20,117,171.79,0,0,0,15,11,KA Pollard,2017-2017,10,1,1.1,0,23,0,-,-,19.71,-,0,0,8,0
34,Saifullah Bangash,2016-2016,5,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,Saifullah Bangash,2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,2,0
35,KC Sangakkara,2017-2017,10,10,0,215,65,21.50,181,118.78,0,1,0,20,5,KC Sangakkara,2017-2017,10,-,-,-,-,-,-,-,-,-,-,-,10,0
36,Shahid Afridi,2018-2018,9,6,1,47,26,9.40,31,151.61,0,0,0,0,6,Shahid Afridi,2018-2018,9,9,33.0,2,208,13,3/18,16.00,6.30,15.2,0,0,3,0
37,Shahzaib Hasan,2016-2017,4,4,0,64,27,16.00,52,123.07,0,0,1,7,2,Shahzaib Hasan,2016-2017,4,-,-,-,-,-,-,-,-,-,-,-,1,0
38,Shakib Al Hasan,2016-2016,8,8,1,126,51,18.00,120,105.00,0,1,0,6,3,Shakib Al Hasan,2016-2016,8,7,21.0,0,167,3,1/26,55.66,7.95,42.0,0,0,3,0
39,Sharjeel Khan,2020-2020,10,9,1,199,74*,24.87,138,144.20,0,1,1,16,16,Sharjeel Khan,2020-2020,10,-,-,-,-,-,-,-,-,-,-,-,0,0
